title,type,country,release_year,rating,duration,genre,description
Behind the Newsroom,TV Show,,2015,MA,1 Season,International TV Shows,Confident and cool under pressure top news presenter Punchalee meets her match in the conniving Dao who'll stop at nothing to fulfill her ambitions.
Belief: The Possession of Janet Moses,Movie,New Zealand,2015,MA,90 min,Documentaries,This documentary tries to reconstruct through a series of interviews a family's misguided attempt to heal a woman's pain through exorcism.
Bill Hicks: Reflections,Movie,,2015,MA,34 min,Documentaries,This documentary about comedian Bill Hicks offers insight into his irreverent takes on well everything. Brother Steve Hicks is the star witness.
Bon Bini Holland,Movie,Netherlands,2015,MA,88 min,Comedies,On the island of Curaçao an amiable scam artist angers gangsters and flees to Holland where his conscience is torn between a woman and a new scheme.
Breaking Free,Movie,India,2015,MA,81 min,Documentaries,One filmmaker’s quest to expose the human rights violations faced by India’s LGBTQ community was a project of passion seven years in the making.
Çarsi Pazar,Movie,Turkey,2015,MA,97 min,Comedies,The slacker owner of a public bath house rallies his community to save it when a big developer comes to town to close it down and open a new mall.
Case,TV Show,Iceland,2015,MA,1 Season,Crime TV Shows,A smart lawyer whose drinking and recklessness send him on a path of self-destruction finds new purpose investigating a teenager's apparent suicide.
Castle of Stars,TV Show,,2015,MA,1 Season,International TV Shows,As four couples with different lifestyles go through the ebbs and flows of joy and sorrow each must learn how to live a good life.
Caught on Camera,TV Show,United Kingdom,2015,MA,3 Seasons,British TV Shows,Nick Wallis presents crimes caught on CCTV cell phones and other devices and reveals how investigators use the recordings to solve tough cases.
Chatô: The King of Brazil,Movie,Brazil,2015,MA,105 min,Dramas,The romanticized life of media mogul Assis Chateaubriand depicts him as the star of a televised trial where his passions and achievements are judged.
Cheuk Wan-Chi: Two Night Stand,TV Show,,2015,MA,1 Season,International TV Shows,Writer and stand-up comedian Cheuk Wan-chi cracks wise at the follies of single womanhood and takes on politics in Hong Kong with nuance and flair.
Chris D'Elia: Incorrigible,Movie,United States,2015,MA,84 min,Stand-Up Comedy,Stand-up comedian Chris D'Elia covers everything from how to improve the NFL to why dating is evil and that babies should grow up before they're born.
Chris Tucker Live,Movie,United States,2015,MA,92 min,Stand-Up Comedy,Filmed in his hometown of Atlanta Chris Tucker showcases his stand-up comedic chops as he shares his experiences from childhood to the big time.
Circle,Movie,United States,2015,MA,86 min,Dramas,When a group of strangers is seized and awaits execution they face the impossible task of choosing the one person among them worthy of being spared.
Club Friday The Series 6,TV Show,,2015,MA,9 Seasons,International TV Shows,Based on a Thai radio show that gives love advice to callers this series dramatizes stories of infidelity love triangles sexual identity and more.
Colin Quinn: Unconstitutional,Movie,United States,2015,MA,56 min,Stand-Up Comedy,New York comedian Colin Quinn writes and stars in this live one-man stage show that dissects and deconstructs U.S. constitutional history.
Cosmos Laundromat: First Cycle,Movie,Netherlands,2015,MA,12 min,Dramas,Despondent on a desolate island a suicidal sheep is thrown a lifeline by a quirky salesman who offers him the gift of a lifetime.
Cyborg 009 VS Devilman,TV Show,Japan,2015,MA,1 Season,Anime,"When a Black Ghost scientist releases newly modified cyborgs and mysterious demons appear in Tokyo the worlds of ""Devilman"" and ""Cyborg 009"" meet."
Dabbe 6: The Return,Movie,Turkey,2015,MA,153 min,Horror Movies,A cardiologist tries to pinpoint the cause of her mother's sudden death as her sister who witnessed it claims malevolent demons are at play.
Dagh Ujala,Movie,United States,2015,MA,103 min,Dramas,A lesbian daughter fights off an arranged marriage in India while an Islamic fundamentalist targets an anti-extremist Muslim scholar in New York.
Danny Says,Movie,United States,2015,MA,103 min,Documentaries,This documentary profiles eccentric publicist Danny Fields who helped launch the careers of innovative new artists who would become musical icons.
Darr Sabko Lagta Hai,TV Show,India,2015,MA,1 Season,International TV Shows,In this chilling horror anthology series actress and model Bipasha Basu meets people who have had disconcerting paranormal experiences.
Demetri Martin: Live (At the Time),Movie,United States,2015,MA,62 min,Stand-Up Comedy,"Demetri Martin brings his off-kilter take on acoustic guitar hairless cats color schemes and the word ""nope"" to Washington in his original special."
Derek,TV Show,United Kingdom,2015,MA,3 Seasons,British TV Shows,Ricky Gervais created and stars in this heartwarming comedy-drama series as a loyal English nursing home caretaker who sees only the good in everyone.
Die Ontwaking,Movie,South Africa,2015,MA,90 min,International Movies,An inexperienced murder detective joins a desperate search for a deranged serial killer who possesses a deep obsession with young women’s skin.
Dil Dhadakne Do,Movie,India,2015,MA,174 min,Comedies,While hosting a shipboard holiday for relatives and friends a wealthy but dysfunctional family must face the ugly truths under their flawless facade.
Don't Crack Under Pressure,Movie,France,2015,MA,95 min,Action & Adventure,There are risks. Then there are risk-takers. In an around-the-world trip follow athletes perform jaw-dropping acts in unpredictable elements of nature.
Dream/Killer,Movie,United States,2015,MA,109 min,Documentaries,This riveting crime doc follows Bill as he confronts America's broken judicial system after his son is falsely sentenced to 40 years in prison.
Drugs Inc.,TV Show,United States,2015,MA,1 Season,Crime TV Shows,This absorbing documentary series follows the entire supply chain of the illicit drug trade tracing its production export sale and consumption.
Dügün Dernek 2: Sünnet,Movie,Turkey,2015,MA,107 min,Comedies,Ismail and his old screwball crew land themselves in hot water when his grandson's circumcision evolves into a buzz-making citywide event.
Eddie - Strongman,Movie,United Kingdom,2015,MA,98 min,Documentaries,British strongman Eddie Hall wants to be the strongest man in the world. This documentary reveals the grueling life choices that fuel his obsession.
Elles étaient en guerre 1939-1945,Movie,,2015,MA,92 min,Documentaries,Mothers nurses soldiers and deportees – these women fought against persecution for freedom and survival amid the turbulence of World War II.
Fear Files... Har Mod Pe Darr,TV Show,India,2015,MA,1 Season,International TV Shows,Possessed lovers witches haunted houses and more bring tales of horror to the screen in this anthology series.
Five Nights in Maine,Movie,United States,2015,MA,83 min,Dramas,After his wife dies in a car accident a grief-stricken man visits his estranged mother-in-law in Maine where they try to help each other heal.
For Here or to Go?,Movie,United States,2015,MA,105 min,Comedies,A software engineer must decide if he'd rather navigate America's frustrating visa renewal process or simply return to his home country of India.
French Dirty,Movie,United States,2015,MA,72 min,Dramas,An aimless unemployed millennial hangs out with his pals and resists growing up until an affair with his best friend's girl forces him to change.
Gbomo Gbomo Express,Movie,Nigeria,2015,MA,97 min,Dramas,The night spins sinisterly out of control when incompetent kidnappers hold a club-hopping record exec and a socialite for ransom in this dark comedy.
Girls und Panzer der Film,Movie,Japan,2015,MA,121 min,Action & Adventure,The girls of Ōarai High must face off against a formidable university team in a fierce tank battle to once again avoid closure of their school.
Hannibal,TV Show,United States,2015,MA,3 Seasons,TV Horror,This drama series focuses on the early years of the relationship between FBI criminal profiler Will Graham and homicidal cannibal Dr. Hannibal Lecter.
Happyish,TV Show,United States,2015,MA,1 Season,TV Comedies,"A middle-aged adman is shaken up by his new boss a 25-year-old who advises him to ""rebrand"" himself. Is it possible or is this as good as he'll get?"
Hard Tide,Movie,United Kingdom,2015,MA,79 min,Dramas,A drug dealer who's been emulating his father's successful criminal career is forced to go on the run with a young girl in this fact-based thriller.
Hashoter Hatov,TV Show,Israel,2015,MA,1 Season,Crime TV Shows,An honest – though overzealous – police officer strives to do good work while dealing with his bickering parents and incompetent coworkers.
Helix,TV Show,United States,2015,MA,1 Season,TV Horror,While investigating a possible outbreak at an Arctic research facility scientists discover a new virus that could wipe out every human on the planet.
Hemlock Grove,TV Show,United States,2015,MA,3 Seasons,TV Horror,Secrets are just a part of daily life in the small Pennsylvania town of Hemlock Grove where the darkest evils hide in plain sight.
Héroes,Movie,Chile,2015,MA,91 min,Comedies,When an earthquake hits Chile rescue workers must put aside their differences to save the country from a businessman's evil scheme.
Historia de un clan,TV Show,Argentina,2015,MA,1 Season,Crime TV Shows,This drama based on a true story follows the Puccios a criminal family who kidnaps wealthy people and holds them hostage in their home.
Hjørdis,TV Show,Denmark,2015,MA,1 Season,International TV Shows,"This miniseries spinoff of ""Rita"" follows teacher Hjørdis as she plans a school play on bullying featuring a cast of socially awkward students."
Holding the Man,Movie,Australia,2015,MA,128 min,Dramas,In 1970s Australia two teen boys fall in love with each other and defeat obstacles to their 15-year relationship until a new crisis comes their way.
Hormones,TV Show,Thailand,2015,MA,3 Seasons,International TV Shows,High school students in Bangkok wrestle with issues such as sex teen pregnancy drugs school violence family turmoil and more in this Thai drama.
Hot Girls Wanted,Movie,United States,2015,MA,83 min,Documentaries,"This 2015 Sundance Film Festival breakout documentary from producer Rashida Jones spotlights the ""amateur"" porn industry and the women it exploits."
